WEO Subject Code;Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
NGDP_RPCH;Dominican Republic;7.969;4.279;1.700;4.628;1.253;-2.123;3.522;10.117;2.156;4.401;-5.454;0.945;5.563;7.223;2.309;5.502;7.140;8.020;6.991;6.701;5.648;1.791;5.776;-0.252;1.304;9.222;10.657;8.480;3.144;0.936;8.302;2.821;2.630;4.778;7.300;5.100
PCPIPCH;Dominican Republic;21.664;7.523;7.643;5.629;20.152;45.336;7.639;13.551;43.864;40.658;50.463;47.079;4.259;5.250;8.261;12.536;5.399;8.297;4.832;6.471;7.723;8.884;5.223;27.450;51.461;4.190;7.573;6.144;10.644;1.442;6.330;8.459;3.695;4.831;2.999;1.583
GGXCNL_NGDP;Dominican Republic;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.095;-0.739;-1.241;-1.324;-1.568;-1.746;-5.912;-3.321;-0.401;-0.936;0.105;-3.259;-3.028;-2.735;-3.039;-6.584;-3.555;-3.034;-2.426
BCA_NGDPD;Dominican Republic;-10.399;-6.157;-7.042;-3.441;-1.245;-1.312;-2.481;-4.089;-1.197;-2.898;-1.596;-0.777;-4.727;-3.847;-1.829;-1.044;-1.099;-0.779;-1.497;-1.853;-4.008;-2.786;-2.825;4.602;4.426;-1.522;-3.390;-4.957;-9.402;-4.844;-7.446;-7.476;-6.560;-4.068;-3.125;-2.436
NGDP_RPCH;Ecuador;4.900;3.900;1.200;-2.800;4.200;4.400;3.094;-5.972;10.486;0.285;3.008;5.113;3.614;2.000;4.258;2.253;1.732;4.328;3.267;-4.739;1.092;4.016;4.097;2.723;8.211;5.291;4.404;2.190;6.357;0.566;3.525;7.868;5.220;4.642;3.644;1.886
PCPIPCH;Ecuador;13.049;16.387;16.258;48.434;31.230;27.983;23.030;29.504;58.216;75.648;48.519;48.804;54.341;45.000;27.443;22.886;24.400;30.600;36.100;52.200;96.100;37.700;12.600;7.929;2.741;2.171;3.296;2.281;8.398;5.160;3.552;4.475;5.103;2.721;3.587;3.166
GGXCNL_NGDP;Ecuador;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.000;0.000;-0.845;-2.207;-1.639;-3.915;-3.506;0.965;1.157;0.756;0.998;1.931;0.641;2.853;1.758;0.485;-3.570;-1.347;-0.006;-0.940;-4.602;-5.162;-5.397
BCA_NGDPD;Ecuador;-3.337;-5.741;-6.766;-0.875;-1.614;0.598;-3.868;-8.602;-4.540;-4.854;-3.019;-5.158;-1.416;-3.730;-3.787;-4.013;0.315;-2.165;-8.115;4.224;3.978;-2.802;-4.267;-1.193;-1.310;1.141;3.716;3.697;2.860;0.494;-2.281;-0.329;-0.188;-1.041;-0.833;-3.299
NGDP_RPCH;Egypt;3.409;2.198;7.296;8.876;8.021;7.425;4.759;4.273;3.994;2.993;2.350;2.100;0.300;2.900;4.188;4.484;4.879;5.919;7.543;6.110;5.383;3.524;3.186;3.193;4.092;4.472;6.844;7.088;7.156;4.674;5.147;1.776;2.215;2.101;2.163;4.041
PCPIPCH;Egypt;20.500;10.400;14.900;15.982;17.060;12.108;23.900;25.185;15.185;20.129;21.219;14.737;21.142;11.042;9.046;9.361;7.095;6.167;5.041;3.745;2.849;2.431;3.210;0.000;8.106;8.826;4.202;10.959;11.698;16.240;11.690;11.090;8.650;6.914;10.099;10.261
GGXCNL_NGDP;Egypt;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-11.347;-9.024;-8.254;-8.406;-9.181;-7.547;-8.004;-6.896;-8.284;-9.783;-10.517;-14.082;-13.596;-11.770
BCA_NGDPD;Egypt;-0.864;-4.555;-7.188;-4.178;-8.518;-4.804;-2.901;-1.366;-2.257;-2.284;-2.838;3.612;8.735;4.656;0.368;0.643;-0.272;0.157;-2.922;-1.907;-1.167;-0.034;0.715;2.399;4.338;3.251;1.632;2.068;0.547;-2.346;-1.974;-2.584;-3.869;-2.354;-0.823;-3.278
NGDP_RPCH;El Salvador;-8.625;-5.725;-6.306;1.535;1.337;0.616;0.190;2.513;1.878;0.962;4.831;3.576;7.543;7.370;6.050;6.397;1.706;4.246;3.749;3.449;2.153;1.709;2.341;2.300;1.851;3.563;3.912;3.840;1.274;-3.133;1.365;2.217;1.881;1.676;2.000;2.500
PCPIPCH;El Salvador;17.359;14.818;11.703;13.121;11.705;22.318;31.945;24.849;19.772;17.651;28.294;14.403;11.221;22.620;7.173;9.725;9.789;4.416;2.620;0.515;2.274;3.745;1.869;2.121;4.452;4.690;4.035;4.580;7.258;0.537;1.179;5.129;1.730;0.758;1.141;-0.796
GGXCNL_NGDP;El Salvador;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-4.684;-3.089;-1.974;-2.771;-1.810;-2.451;-3.032;-3.332;-3.959;-3.724;-4.072;-2.737;-2.972;-2.536;-1.290;-2.677;-5.550;-4.429;-4.097;-3.942;-3.655;-3.512;-4.422
BCA_NGDPD;El Salvador;5.191;-3.557;-1.498;1.860;-1.718;-2.462;7.207;5.896;1.926;-5.933;-4.295;-3.619;-2.993;-1.778;-0.998;-2.568;-1.987;-0.903;-0.755;-1.920;-3.278;-1.088;-2.832;-4.666;-4.063;-3.637;-4.126;-6.051;-7.149;-1.511;-2.487;-4.805;-5.410;-6.498;-5.021;-4.330
NGDP_RPCH;Equatorial Guinea;4.839;5.769;2.202;5.004;1.011;12.905;-2.331;4.437;2.655;-1.229;-1.759;-1.022;34.745;11.033;16.669;17.486;66.580;149.973;23.774;25.664;18.214;63.380;19.463;13.955;37.999;9.749;1.260;13.122;12.261;-8.062;-1.300;4.996;3.220;-4.845;-3.107;-15.386
PCPIPCH;Equatorial Guinea;--;16.700;38.256;60.058;59.518;83.999;-17.640;-13.174;2.524;6.064;0.922;-3.425;-4.279;5.452;31.841;19.872;4.541;3.017;7.936;0.372;4.836;8.739;7.582;7.324;4.237;5.637;4.465;2.798;4.652;5.737;5.320;4.799;3.442;3.179;3.000;3.000
GGXCNL_NGDP;Equatorial Guinea;-19.312;-21.322;-20.570;-5.789;4.073;-3.218;-8.802;0.749;-41.003;-20.946;-6.213;-6.900;-10.180;-9.171;-7.058;-3.505;-2.682;3.907;-2.698;-0.227;-2.947;17.065;20.074;14.982;12.386;21.947;27.200;22.005;18.698;-10.419;-6.389;1.106;-9.847;-7.846;-8.200;-21.439
BCA_NGDPD;Equatorial Guinea;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-27.040;-14.764;-18.173;-16.940;-36.715;-7.850;2.090;-0.379;-86.994;-147.997;-32.442;-107.321;-35.051;-18.777;-48.916;1.021;-39.592;-25.699;-7.388;16.946;15.910;12.323;-8.002;-9.763;-0.616;-4.502;-12.057;-13.123;-32.489
NGDP_RPCH;Eritrea;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12.882;20.918;2.325;9.136;7.900;1.966;0.187;-12.355;8.755;3.005;-2.656;1.452;2.574;-0.969;1.427;-9.783;3.877;2.194;8.678;7.020;1.331;1.701;0.249
PCPIPCH;Eritrea;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4.787;13.147;11.983;10.288;3.739;9.467;8.397;19.947;14.625;16.877;22.669;25.111;12.506;15.064;9.304;19.943;33.000;12.709;13.343;12.256;12.256;12.256;12.256
GGXCNL_NGDP;Eritrea;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5.333;3.269;6.726;-17.749;-14.242;-4.371;-31.226;-46.235;-28.233;-30.418;-26.353;-17.186;-16.608;-22.198;-14.076;-15.657;-21.129;-14.726;-16.044;-16.180;-13.492;-12.497;-11.634;-12.185
BCA_NGDPD;Eritrea;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5.274;-20.617;-19.405;-0.624;-4.573;6.802;9.671;-0.672;0.334;-3.584;-6.112;-5.467;-7.615;-5.622;0.553;2.322;0.349;-0.209;-1.617
NGDP_RPCH;Estonia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.642;2.155;5.689;11.740;6.723;-0.300;9.974;6.158;6.122;7.480;6.477;9.471;10.413;7.901;-5.328;-14.738;2.488;8.264;4.650;1.630;2.083;2.523
PCPIPCH;Estonia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;47.656;29.003;23.058;11.182;8.207;3.306;4.011;5.625;3.591;1.387;3.030;4.114;4.445;6.744;10.606;0.198;2.742;5.080;4.218;3.246;0.500;0.391
GGXCNL_NGDP;Estonia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.415;-1.075;2.861;0.500;-3.555;-0.247;-0.080;0.254;1.674;1.644;1.605;2.438;2.361;-2.899;-1.930;0.187;1.045;-0.280;-0.473;0.374;-0.526
BCA_NGDPD;Estonia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.217;-6.802;-4.172;-8.432;-11.107;-8.559;-4.290;-5.392;-7.116;-11.113;-12.909;-11.993;-8.729;-14.963;-14.987;-8.681;2.542;1.799;1.355;-2.484;-1.128;-0.053;-0.394
NGDP_RPCH;Ethiopia;3.997;--;0.961;7.845;-2.305;-11.413;9.693;13.870;0.574;-0.457;2.602;-7.218;-8.907;13.363;3.486;6.121;13.157;3.543;-4.045;6.042;5.927;7.418;1.634;-2.099;11.729;12.644;11.539;11.795;11.187;10.041;10.567;11.386;8.700;9.821;10.347;8.563
PCPIPCH;Ethiopia;12.437;1.937;7.774;3.569;-0.334;18.403;5.550;-9.146;2.206;9.633;5.206;20.869;21.019;9.990;1.166;13.354;0.919;-6.420;3.600;4.772;6.159;-8.238;1.654;17.762;3.221;11.656;13.558;17.245;44.371;8.479;8.134;33.232;24.132;8.071;7.377;6.823
GGXCNL_NGDP;Ethiopia;-2.489;-2.131;-3.495;-7.371;-3.585;-4.575;-3.867;-3.441;-3.382;-4.205;-6.662;-5.826;-4.780;-4.003;-5.230;-2.677;-3.814;-1.702;-3.511;-8.472;-8.880;-3.760;-5.764;-5.592;-2.651;-4.122;-3.788;-3.567;-2.882;-0.932;-1.321;-1.596;-1.172;-1.936;-2.615;-2.914
BCA_NGDPD;Ethiopia;-3.062;-3.293;-2.445;-1.917;-1.553;1.084;-3.211;-1.991;-2.016;-1.216;-2.332;0.740;-0.816;-0.547;1.542;0.467;0.902;-0.452;-4.118;-5.869;0.163;-4.541;-1.741;-1.582;-6.585;-12.635;-11.686;-4.203;-6.728;-6.748;-1.422;-2.450;-6.921;-6.048;-8.987;-6.570
NGDP_RPCH;Fiji;-1.694;6.004;-1.092;-4.212;10.107;-3.774;6.596;-7.194;3.462;13.888;5.802;-2.708;6.107;2.605;5.089;4.915;4.741;-2.261;1.227;9.211;-1.780;1.970;3.154;0.996;5.456;2.500;1.856;-0.860;1.032;-1.386;2.955;2.705;1.830;4.644;4.083;3.254
PCPIPCH;Fiji;14.464;11.200;7.014;6.807;5.271;4.410;1.790;5.664;11.758;6.189;8.191;6.497;4.883;5.207;0.800;2.183;3.010;3.393;5.743;1.983;1.099;4.264;0.722;4.220;2.827;2.303;2.525;4.811;7.726;3.655;3.689;7.282;3.416;2.909;0.528;1.500
GGXCNL_NGDP;Fiji;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-2.551;-3.378;-1.440;-0.387;-5.087;-6.585;3.831;-0.489;-3.199;-6.555;-5.557;-5.908;-3.071;-3.355;-3.552;-2.037;0.588;-4.162;-2.174;-1.408;-1.118;-0.508;-1.962;-3.667
BCA_NGDPD;Fiji;-3.336;-14.290;-9.713;-9.211;-5.660;-5.736;-2.662;1.626;5.860;-1.349;-10.008;-5.375;-2.641;-5.550;-2.017;-1.580;0.895;-2.854;-0.455;-2.714;-5.537;-6.765;-1.107;-6.069;-13.658;-7.607;-15.389;-10.393;-15.947;-4.157;-4.462;-5.292;-1.798;-20.705;-8.767;-8.035
NGDP_RPCH;Finland;5.366;1.291;3.042;3.016;3.112;3.301;2.638;3.491;5.215;5.059;0.531;-6.013;-3.488;-0.802;3.616;3.964;3.585;6.204;5.020;3.902;5.635;2.581;1.680;1.994;3.926;2.781;4.055;5.185;0.721;-8.269;2.992;2.571;-1.426;-1.322;-0.114;0.826
PCPIPCH;Finland;11.602;12.000;9.300;8.400;7.000;5.820;2.900;4.082;5.135;6.572;4.957;4.163;2.866;2.199;1.076;1.000;1.069;1.219;1.351;1.316;2.948;2.665;2.010;1.303;0.140;0.771;1.275;1.584;3.914;1.635;1.686;3.324;3.162;2.216;1.209;0.578
GGXCNL_NGDP;Finland;2.224;4.055;1.727;-0.271;1.977;1.845;2.607;0.042;4.099;6.349;5.844;-0.427;-5.547;-8.705;-7.083;-6.631;-3.834;-1.578;1.527;1.595;6.736;4.898;3.979;2.342;2.161;2.593;3.931;5.130;4.178;-2.529;-2.540;-1.013;-2.093;-2.338;-2.719;-2.404
BCA_NGDPD;Finland;-2.548;-0.887;-1.696;-2.153;-0.038;-1.405;-0.923;-1.850;-2.419;-4.782;-4.819;-5.217;-4.450;-1.251;1.059;3.850;3.755;5.190;5.444;5.941;8.360;9.336;8.624;4.979;6.366;3.803;5.335;5.198;3.136;2.662;2.394;-0.616;-1.216;-0.919;-0.574;-0.265
NGDP_RPCH;France;1.809;1.078;2.509;1.256;1.524;1.623;2.351;2.577;4.734;4.353;2.914;1.039;1.600;-0.613;2.345;2.085;1.388;2.337;3.556;3.407;3.875;1.954;1.118;0.820;2.786;1.608;2.375;2.361;0.195;-2.941;1.966;2.079;0.334;0.285;0.361;1.160
PCPIPCH;France;13.057;13.333;11.978;9.460;7.674;5.831;2.539;3.289;2.701;6.569;0.323;3.400;2.458;2.234;1.662;1.769;2.100;1.282;0.669;0.565;1.828;1.783;1.939;2.168;2.338;1.899;1.915;1.608;3.161;0.103;1.734;2.290;2.220;0.989;0.621;0.113
GGXCNL_NGDP;France;-0.409;-2.381;-2.809;-2.513;-2.706;-2.942;-3.166;-1.984;-2.532;-1.753;-2.402;-2.827;-4.555;-6.299;-5.369;-5.124;-3.900;-3.626;-2.407;-1.578;-1.318;-1.437;-3.088;-3.859;-3.489;-3.165;-2.342;-2.544;-3.183;-7.162;-6.795;-5.097;-4.861;-4.121;-4.185;-3.931
BCA_NGDPD;France;-0.593;-0.768;-2.055;-0.835;-0.142;-0.063;0.303;-0.474;-0.455;-0.449;-0.772;-0.483;0.272;0.690;0.582;0.455;1.199;2.586;2.549;3.055;1.407;1.700;1.206;0.701;0.524;-0.470;-0.558;-0.972;-0.941;-0.832;-0.836;-1.032;-1.539;-1.432;-1.051;-0.108
NGDP_RPCH;Gabon;--;-4.000;4.100;2.000;4.900;5.800;-2.100;-15.400;3.500;15.431;5.147;6.124;-3.087;3.947;3.713;4.974;3.625;5.738;3.478;-8.943;-1.883;2.150;-1.111;1.701;1.120;-0.786;-1.908;6.333;1.733;-2.279;6.270;6.938;5.493;5.602;5.085;4.429
PCPIPCH;Gabon;12.321;8.600;16.700;10.400;5.900;7.300;6.400;-1.000;-9.800;6.903;15.369;-9.830;-9.543;0.534;36.116;9.647;0.690;3.973;1.449;-1.935;0.504;2.136;0.164;2.105;0.408;1.171;-1.406;-1.021;5.263;1.885;1.447;1.262;2.683;0.480;4.512;2.500
GGXCNL_NGDP;Gabon;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-3.700;-1.959;-4.725;-5.166;-1.475;2.550;2.041;1.358;-12.652;1.075;10.741;3.924;3.565;7.391;6.773;7.939;8.473;8.076;10.464;6.907;2.443;2.239;1.695;1.816;2.963;-1.906
BCA_NGDPD;Gabon;26.365;15.033;12.856;11.792;17.275;9.649;-18.704;-6.944;-14.238;-3.837;2.284;1.525;-3.657;-0.971;7.258;8.487;14.140;9.038;-12.542;7.585;17.897;9.946;6.093;11.239;11.545;20.865;17.281;14.799;21.891;6.525;7.811;13.072;21.330;14.973;11.250;-2.346
NGDP_RPCH;The Gambia;0.705;-9.523;20.759;13.518;-7.620;3.649;2.364;2.800;1.702;4.331;5.696;2.163;4.421;6.130;3.833;-3.398;6.146;4.934;6.500;6.399;5.525;5.753;-3.247;6.874;7.046;-0.942;1.124;3.631;5.735;6.450;6.526;-4.295;5.600;4.789;-0.219;5.119
PCPIPCH;The Gambia;5.019;7.920;8.235;10.645;22.106;18.320;56.556;23.712;11.549;8.255;12.168;8.642;9.484;6.466;1.710;6.981;1.099;2.781;1.114;3.807;0.851;4.492;8.610;17.032;14.287;4.959;2.056;5.370;4.451;4.554;5.049;4.796;4.645;5.224;6.270;6.150
GGXCNL_NGDP;The Gambia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.151;-4.193;-3.367;-3.421;-4.053;-5.868;-5.139;0.440;-1.464;-2.653;-5.163;-4.730;-4.379;-8.541;-8.949;-4.330
BCA_NGDPD;The Gambia;-32.222;-8.803;-1.841;-1.012;-4.405;-2.267;-0.465;-1.438;2.732;1.300;-1.845;-0.097;-0.079;-3.050;-1.855;-2.876;-9.108;-0.820;-1.660;-1.961;-5.709;-5.479;-6.121;-7.688;-4.521;-10.345;-6.913;-8.297;-12.230;-12.530;-16.293;-12.283;-7.924;-10.693;-12.736;-11.714
NGDP_RPCH;Georgia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2.600;10.500;10.566;2.878;2.960;1.937;4.788;5.515;11.054;5.860;9.593;9.388;12.580;2.613;-3.741;6.201;7.185;6.401;3.320;4.734;2.005
PCPIPCH;Georgia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;162.718;39.329;6.988;3.552;19.128;4.040;4.688;5.579;4.785;5.656;8.247;9.161;9.245;9.999;1.728;7.111;8.543;-0.944;-0.512;3.069;3.048
GGXCNL_NGDP;Georgia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.985;-0.730;-0.192;-0.563;3.693;2.205;3.376;0.832;-1.976;-6.543;-4.780;-0.866;-0.757;-1.186;-1.793;-3.128
BCA_NGDPD;Georgia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-18.300;-12.578;-12.839;-12.755;-10.015;-7.872;-6.401;-6.427;-9.614;-6.914;-11.070;-15.177;-19.753;-21.988;-10.532;-10.249;-12.751;-11.702;-5.737;-9.635;-11.474
NGDP_RPCH;Germany;1.272;0.110;-0.788;1.555;2.826;2.192;2.417;1.469;3.736;3.913;5.723;5.011;1.504;-0.981;2.523;1.777;0.814;1.895;1.746;1.857;3.217;1.833;0.024;-0.725;0.717;0.872;3.886;3.392;0.773;-5.580;3.938;3.660;0.583;0.214;1.607;1.620
PCPIPCH;Germany;5.447;6.324;5.256;3.284;2.396;2.084;-0.125;0.242;1.274;2.778;2.687;3.474;5.046;4.476;2.717;1.733;1.190;1.542;0.593;0.626;1.418;1.904;1.346;1.022;1.799;1.920;1.784;2.285;2.746;0.218;1.158;2.490;2.130;1.601;0.788;0.211
GGXCNL_NGDP;Germany;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-2.817;-2.420;-2.951;-2.290;-9.239;-3.264;-2.680;-2.270;-1.560;1.101;-2.970;-3.717;-4.021;-3.641;-3.226;-1.600;0.221;-0.072;-2.995;-4.049;-0.795;0.095;0.148;0.621;0.281
BCA_NGDPD;Germany;-1.678;-0.649;0.659;0.592;1.467;2.665;4.097;3.772;4.284;4.566;2.980;-1.319;-1.098;-0.957;-1.414;-1.158;-0.675;-0.509;-0.710;-1.417;-1.749;-0.363;1.888;1.431;4.501;4.674;5.776;6.897;5.779;5.828;5.693;6.075;7.136;6.736;7.450;8.401
NGDP_RPCH;Ghana;0.453;5.181;-5.038;-3.458;8.301;5.842;4.325;5.862;9.377;4.601;3.340;5.036;4.084;4.666;3.471;4.050;4.540;5.226;5.107;4.687;4.188;4.497;4.654;5.112;5.315;6.023;6.125;4.494;9.316;5.785;7.897;14.025;8.022;7.329;4.160;3.490
PCPIPCH;Ghana;50.005;116.504;22.485;122.245;40.030;10.301;24.539;39.758;31.369;25.237;37.241;18.097;10.049;24.942;24.874;59.317;44.487;24.825;19.208;12.471;25.113;32.932;14.846;26.626;12.666;15.095;11.683;10.729;16.505;13.139;6.698;7.676;7.072;11.666;15.486;12.198
GGXCNL_NGDP;Ghana;-7.049;-10.786;-3.933;-4.567;-2.182;-2.362;-2.822;-1.749;-2.018;-1.503;-3.464;-2.357;-7.063;-8.812;-8.536;-8.443;-10.167;-9.852;-8.195;-8.541;-6.677;-5.179;-4.378;-3.349;-3.025;-2.840;-4.708;-5.387;-8.443;-7.011;-9.370;-7.330;-12.183;-10.876;-9.753;-6.328
BCA_NGDPD;Ghana;-0.207;-2.345;-0.517;-1.856;-2.520;-3.185;-2.740;-3.057;-2.472;-2.726;-3.304;-3.390;-4.657;-7.964;-5.222;-3.803;-3.337;-9.439;-5.022;-7.478;-6.560;-5.033;-0.801;0.129;-4.704;-7.001;-8.223;-8.716;-11.920;-5.379;-8.608;-8.961;-11.716;-11.740;-9.217;-7.036
NGDP_RPCH;Greece;0.677;-1.554;-1.133;-1.079;2.011;2.510;0.518;-2.259;4.288;3.800;0.000;3.100;0.700;-1.600;2.000;2.100;2.955;4.463;4.058;3.074;3.967;3.737;3.162;6.638;4.952;0.891;5.815;3.538;-0.444;-4.395;-5.449;-8.864;-6.572;-3.895;0.774;2.522
PCPIPCH;Greece;24.668;24.353;21.420;19.859;18.419;19.531;23.113;16.361;13.480;13.706;20.347;19.498;15.869;14.352;10.881;8.976;8.209;5.535;4.768;2.630;3.151;3.374;3.630;3.531;2.899;3.545;3.196;2.895;4.153;1.210;4.713;3.330;1.502;-1.043;-1.425;-0.300
GGXCNL_NGDP;Greece;-2.250;-7.104;-5.392;-6.096;-7.160;-9.667;-8.663;-8.089;-9.744;-12.170;-13.599;-9.721;-10.785;-11.622;-8.453;-9.774;-7.040;-6.156;-3.709;-3.046;-3.635;-4.296;-4.714;-5.519;-7.129;-5.466;-6.108;-6.720;-9.905;-15.246;-11.068;-10.123;-6.320;-2.812;-2.702;-0.778
BCA_NGDPD;Greece;-3.861;-4.561;-3.434;-3.770;-4.395;-6.805;-2.959;-1.856;-1.248;-3.220;-3.597;-1.484;-1.831;-0.683;-0.125;-2.338;-3.475;-4.934;-4.097;-5.102;-7.520;-6.911;-6.274;-6.353;-5.623;-7.362;-10.819;-13.992;-14.469;-10.888;-10.105;-9.897;-2.473;0.582;0.925;1.355
NGDP_RPCH;Grenada;-3.605;0.878;4.549;2.658;4.884;7.691;8.572;10.768;3.213;6.012;5.208;2.570;-0.012;-2.356;3.004;2.726;4.564;5.173;12.804;7.617;6.223;-2.024;3.437;9.464;-0.647;13.273;-3.993;6.123;0.948;-6.614;-0.511;0.765;-1.155;2.423;1.522;1.512
PCPIPCH;Grenada;21.821;18.787;7.813;6.095;5.660;2.501;0.557;-0.872;4.000;5.593;2.724;2.645;3.778;2.809;2.604;3.027;2.032;-0.441;1.405;0.574;2.142;1.674;1.067;2.155;2.313;3.476;4.252;3.859;8.033;-0.309;3.437;3.033;2.411;-0.044;-0.898;-1.547
GGXCNL_NGDP;Grenada;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-8.082;-4.459;-1.488;-0.161;-2.906;-0.470;-3.058;-4.985;-2.400;-2.760;-2.506;-6.408;-14.467;-3.609;-1.022;0.358;-5.649;-6.352;-4.146;-5.228;-3.615;-5.175;-5.882;-7.317;-6.396;-3.014
BCA_NGDPD;Grenada;-0.988;-11.936;-15.317;-12.892;2.749;1.484;-6.063;-11.312;-10.296;-10.003;-10.911;-11.797;-8.013;-13.311;-8.831;-12.456;-15.654;-17.771;-18.322;-11.577;-16.940;-19.766;-23.235;-24.693;-9.517;-26.257;-30.773;-29.703;-28.004;-22.243;-22.098;-21.775;-19.245;-27.027;-23.635;-17.401
NGDP_RPCH;Guatemala;3.700;0.644;-3.542;-2.528;0.510;-0.600;0.100;3.579;3.892;3.943;3.101;3.071;4.643;3.456;3.515;4.415;2.797;4.147;4.585;3.691;2.528;2.400;3.867;2.531;3.152;3.260;5.380;6.304;3.281;0.526;2.869;4.162;2.970;3.680;4.000;4.000
PCPIPCH;Guatemala;10.667;11.400;4.898;6.719;3.208;19.176;32.780;10.848;10.295;12.988;37.977;35.113;10.241;13.363;12.507;8.411;11.057;9.233;6.613;5.214;5.978;7.284;8.136;5.602;7.579;9.107;6.562;6.822;11.355;1.860;3.860;6.215;3.783;4.343;3.419;3.010
GGXCNL_NGDP;Guatemala;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.979;-2.113;-1.089;-2.600;-1.092;-1.730;-1.945;-1.441;-1.615;-3.140;-3.290;-2.785;-2.393;-2.129;-1.856;-2.295
BCA_NGDPD;Guatemala;-2.231;-7.163;-4.929;-2.664;-4.290;-2.372;-0.313;-6.805;-5.879;-4.522;-3.012;-2.112;-7.356;-6.708;-5.282;-4.296;-3.179;-3.937;-6.004;-6.221;-6.107;-6.477;-6.072;-4.652;-4.859;-4.559;-5.041;-5.235;-3.613;0.723;-1.363;-3.355;-2.599;-2.509;-2.307;-1.553
NGDP_RPCH;Guinea;2.601;0.610;1.800;1.300;1.400;5.000;3.114;3.300;6.308;4.003;4.324;1.455;3.273;5.048;4.001;4.680;5.157;5.181;4.585;4.510;2.885;3.769;4.167;1.200;2.340;2.997;2.497;1.758;4.937;-0.280;1.936;3.909;3.814;2.305;0.398;-0.266
PCPIPCH;Guinea;39.985;35.000;29.915;30.263;26.010;19.038;64.700;36.890;27.291;28.256;25.694;19.682;16.559;7.135;4.220;5.554;2.986;1.937;5.103;4.554;6.766;5.377;2.960;11.036;17.463;31.358;34.702;22.861;18.367;4.682;15.466;21.351;15.227;11.887;9.721;9.099
GGXCNL_NGDP;Guinea;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-4.222;-3.689;-3.356;-3.827;-3.987;-3.333;-3.045;-2.960;-0.700;-3.025;-3.186;-4.149;-4.423;-6.470;-5.354;-1.648;-3.138;1.919;0.577;-7.129;-13.981;-1.253;-3.272;-5.207;-4.348;-10.141
BCA_NGDPD;Guinea;3.128;-4.293;-5.080;-0.167;-0.368;-2.285;-6.845;-7.468;-12.537;-8.683;-9.962;-7.293;-7.229;-6.052;-7.102;-7.371;-8.540;-7.113;-8.465;-6.895;-6.431;-2.683;-2.462;0.390;-2.005;-0.367;-3.908;-10.801;-9.740;-7.875;-9.673;-18.784;-28.697;-21.439;-18.456;-16.739
